# electron number density in cm-3  
# radius outwards from cluster center in kpc
rad ne
4.186 0.07260
7.975 0.06219
11.13 0.04657
14.14 0.04515
17.11 0.03711
20.47 0.03145
23.06 0.02612
26.30 0.02430
29.28 0.02103
31.83 0.01936
35.02 0.01782
37.62 0.01542
40.41 0.01377
43.93 0.01216
47.20 0.01086
50.10 0.009018
54.46 0.009112
58.51 0.007039
63.60 0.006481
65.92 0.006283
70.81 0.004609
75.17 0.005111
79.79 0.004200
87.78 0.004200
92.08 0.004200
97.74 0.003827
106.2 0.003597
110.1 0.003381
116.9 0.003381
125.5 0.003081
134.8 0.002866
136.5 0.002405
151.9 0.002124
167.2 0.001450
199.9 0.001000
