Month,fortnite,jesus
2004-01,0,16
2004-02,0,21
2004-03,0,22
2004-04,0,20
2004-05,0,15
2004-06,0,14
2004-07,0,15
2004-08,0,14
2004-09,0,17
2004-10,0,16
2004-11,0,18
2004-12,0,21
2005-01,0,15
2005-02,0,17
2005-03,0,19
2005-04,0,17
2005-05,0,15
2005-06,0,14
2005-07,0,14
2005-08,0,14
2005-09,0,15
2005-10,0,17
2005-11,0,19
2005-12,0,23
2006-01,0,17
2006-02,0,18
2006-03,0,19
2006-04,0,22
2006-05,0,17
2006-06,0,14
2006-07,0,15
2006-08,0,15
2006-09,0,17
2006-10,0,18
2006-11,0,17
2006-12,0,21
2007-01,0,16
2007-02,0,19
2007-03,0,21
2007-04,0,20
2007-05,0,16
2007-06,0,14
2007-07,0,15
2007-08,0,15
2007-09,0,16
2007-10,0,16
2007-11,0,19
2007-12,0,21
2008-01,0,16
2008-02,0,17
2008-03,0,20
2008-04,0,19
2008-05,0,16
2008-06,0,15
2008-07,0,15
2008-08,0,15
2008-09,0,16
2008-10,0,17
2008-11,0,18
2008-12,0,21
2009-01,0,17
2009-02,0,19
2009-03,0,19
2009-04,0,24
2009-05,0,18
2009-06,0,17
2009-07,0,16
2009-08,0,17
2009-09,0,18
2009-10,0,19
2009-11,0,20
2009-12,0,23
2010-01,0,19
2010-02,0,19
2010-03,0,21
2010-04,0,24
2010-05,0,19
2010-06,0,20
2010-07,0,17
2010-08,0,17
2010-09,0,18
2010-10,0,19
2010-11,0,20
2010-12,0,24
2011-01,0,19
2011-02,0,19
2011-03,0,21
2011-04,0,25
2011-05,0,19
2011-06,0,17
2011-07,0,17
2011-08,0,17
2011-09,0,19
2011-10,0,19
2011-11,0,19
2011-12,<1,25
2012-01,<1,22
2012-02,<1,21
2012-03,<1,22
2012-04,<1,27
2012-05,<1,18
2012-06,<1,18
2012-07,<1,18
2012-08,<1,18
2012-09,<1,22
2012-10,<1,19
2012-11,<1,19
2012-12,<1,27
2013-01,<1,19
2013-02,<1,20
2013-03,<1,28
2013-04,<1,22
2013-05,<1,19
2013-06,<1,19
2013-07,<1,18
2013-08,<1,18
2013-09,<1,19
2013-10,<1,20
2013-11,<1,20
2013-12,<1,27
2014-01,<1,20
2014-02,<1,21
2014-03,<1,21
2014-04,<1,30
2014-05,<1,20
2014-06,<1,19
2014-07,<1,20
2014-08,<1,20
2014-09,<1,19
2014-10,<1,20
2014-11,<1,21
2014-12,<1,25
2015-01,<1,21
2015-02,<1,21
2015-03,<1,24
2015-04,<1,28
2015-05,<1,19
2015-06,<1,19
2015-07,<1,19
2015-08,<1,20
2015-09,<1,24
2015-10,<1,21
2015-11,<1,21
2015-12,<1,26
2016-01,<1,20
2016-02,<1,23
2016-03,<1,28
2016-04,<1,21
2016-05,<1,19
2016-06,<1,18
2016-07,<1,18
2016-08,<1,18
2016-09,<1,19
2016-10,<1,20
2016-11,<1,19
2016-12,<1,26
2017-01,<1,19
2017-02,<1,20
2017-03,<1,21
2017-04,<1,28
2017-05,<1,18
2017-06,<1,17
2017-07,3,18
2017-08,2,17
2017-09,2,18
2017-10,6,20
2017-11,7,20
2017-12,11,25
2018-01,27,20
2018-02,44,20
2018-03,88,25
2018-04,97,30
2018-05,94,17
2018-06,88,18
2018-07,100,17
2018-08,84,17
2018-09,85,18
2018-10,76,19
2018-11,68,19
2018-12,85,26
2019-01,74,19
2019-02,78,19
2019-03,57,22
2019-04,52,29
2019-05,54,18
2019-06,42,17
2019-07,48,17
2019-08,41,17
2019-09,32,19
2019-10,57,23
2019-11,33,20
2019-12,37,25
2020-01,30,19
2020-02,31,19
2020-03,33,19
2020-04,56,31
2020-05,50,17
2020-06,52,19
2020-07,43,17
2020-08,45,17
2020-09,39,17
2020-10,31,18
2020-11,30,17
2020-12,44,22
2021-01,32,18
2021-02,31,17
2021-03,35,20
2021-04,27,22
2021-05,24,17
2021-06,29,16
2021-07,24,17
2021-08,24,17
2021-09,22,17
2021-10,19,18
2021-11,20,18
2021-12,40,23
2022-01,31,19
2022-02,28,20
2022-03,28,21
2022-04,23,29
2022-05,22,19
2022-06,32,17
2022-07,23,19
2022-08,23,18
2022-09,22,21
2022-10,19,20
2022-11,16,20
2022-12,34,27
2023-01,22,22
2023-02,20,30
2023-03,24,29
2023-04,18,34
2023-05,20,21
2023-06,21,21
2023-07,20,21
2023-08,21,21
2023-09,18,21
2023-10,20,25
2023-11,54,23
2023-12,82,28
2024-01,39,23
2024-02,36,25
2024-03,44,32
2024-04,32,26
2024-05,28,21
2024-06,24,21
2024-07,21,22
2024-08,29,21
2024-09,24,21
2024-10,25,24
2024-11,37,22
2024-12,55,27
2025-01,33,24
2025-02,28,26
2025-03,23,26
2025-04,22,39
2025-05,24,24
2025-06,25,23
2025-07,22,25
2025-08,22,26
2025-09,16,30
2025-10,20,28
